page,subdomain,section,subsection,content_type,total_clicks,total_impressions,avg_position,first_seen,last_seen,ctr,short_name,Date_Published,Cluster,Word Count,Inlinks,Unique Inlinks
http://client_domain.com/,(root),(homepage),(homepage),Existing Content,2476,73709,8.899594004474697,2022-01-01,2024-01-13,3.35915559836655,client_domain.com,,,,,
http://client_domain.com/CISOREGON/,(root),CISOREGON,CISOREGON,Existing Content,0,95,15.831718346253227,2022-08-15,2023-11-20,0.0,CISOREGON,,,,,
http://client_domain.com/DENSO/,(root),DENSO,DENSO,Existing Content,12,35,4.970588235294118,2022-10-24,2023-10-20,34.285714285714285,DENSO,,,,,
http://client_domain.com/IR-health/,(root),IR-health,IR-health,Existing Content,0,1,16.0,2024-01-04,2024-01-04,0.0,IR-health,,,,,
http://client_domain.com/amazon/,(root),amazon,amazon,Existing Content,153,450,2.042615440115439,2023-05-10,2024-01-13,34.0,amazon,,,,,
http://client_domain.com/asbait/,(root),asbait,asbait,Existing Content,11,548,10.715162461402567,2022-01-01,2023-12-06,2.0072992700729926,asbait,,,,,
http://client_domain.com/cityofboston/,(root),cityofboston,cityofboston,Existing Content,7,41,6.509259259259259,2022-09-01,2024-01-09,17.073170731707318,cityofboston,,,,,
http://client_domain.com/fis/,(root),fis,fis,Existing Content,10,94,14.28423772609819,2022-01-10,2023-10-26,10.638297872340425,fis,,,,,
http://client_domain.com/hitachi/,(root),hitachi,hitachi,Existing Content,18,120,15.832582582582583,2022-01-04,2023-01-24,15.0,hitachi,,,,,
http://client_domain.com/illinois2021/,(root),illinois2021,illinois2021,Existing Content,1,27,10.402777777777777,2022-01-12,2022-09-15,3.7037037037037033,illinois2021,,,,,
http://client_domain.com/illinoistech/,(root),illinoistech,illinoistech,Existing Content,0,3,16.666666666666668,2022-08-26,2023-01-09,0.0,illinoistech,,,,,
http://client_domain.com/ironroad/,(root),ironroad,ironroad,Existing Content,1,46,22.616228070175435,2022-01-06,2022-08-26,2.1739130434782608,ironroad,,,,,
http://client_domain.com/kehp/,(root),kehp,kehp,Existing Content,5,13,6.41666666666666,2023-12-23,2024-01-11,38.46153846153847,kehp,,,,,
http://client_domain.com/koch/,(root),koch,koch,Existing Content,1,3,1.0,2023-11-29,2023-12-26,33.33333333333333,koch,,,,,
http://client_domain.com/mybrevard/,(root),mybrevard,mybrevard,Existing Content,0,849,4.975857022417009,2023-05-07,2024-01-13,0.0,mybrevard,,,,,
http://client_domain.com/njdpb/,(root),njdpb,njdpb,Existing Content,8,136,11.836827956989247,2022-03-24,2023-10-13,5.88235294117647,njdpb,,,,,
http://client_domain.com/salesforce/,(root),salesforce,salesforce,Existing Content,6,37,10.166666666666666,2022-01-17,2023-01-05,16.216216216216218,salesforce,,,,,
http://client_domain.com/sisc/,(root),sisc,sisc,Existing Content,38,559,55.99830734567575,2022-05-06,2022-10-24,6.797853309481217,sisc,,,,,
http://client_domain.com/siteone/,(root),siteone,siteone,Existing Content,0,1,2.0,2022-06-27,2022-06-27,0.0,siteone,,,,,
http://go.client_domain.com/HingeHealth-Medicare-Cost-and-Optimization-Study/,go,HingeHealth-Medicare-Cost-and-Optimization-Study,HingeHealth-Medicare-Cost-and-Optimization-Study,Existing Content,0,6,19.666666666666668,2022-06-11,2022-06-21,0.0,HingeHealth-Medicare-Cost-and-Optimization-Study,,,,,
http://home.client_domain.com/,home,(homepage),(homepage),Existing Content,0,11,4.7965367965367935,2022-11-13,2022-11-15,0.0,home.client_domain.com,,,,,
http://movement.client_domain.com/,movement,(homepage),(homepage),Existing Content,2,4054,3.290723288154632,2022-04-14,2022-05-18,0.049333991119881605,movement.client_domain.com,,,,,
http://ww2.client_domain.com/,ww2,(homepage),(homepage),Existing Content,0,3,1.0,2022-10-12,2022-11-09,0.0,ww2.client_domain.com,,,,,
http://www.client_domain.com/,www,(homepage),(homepage),Existing Content,211,10915,8.1305689939593,2022-01-01,2024-01-13,1.9331195602382043,www.client_domain.com,,,,,
http://www.client_domain.com/ShamrockBenefits/,www,ShamrockBenefits,ShamrockBenefits,Existing Content,0,2,5.5,2023-10-26,2023-11-16,0.0,ShamrockBenefits,,,,,
http://www.client_domain.com/boeingbenefits/,www,boeingbenefits,boeingbenefits,Existing Content,87,327,3.0418963254593177,2022-01-01,2023-07-18,26.605504587155966,boeingbenefits,,,,,
http://www.client_domain.com/cityofseattle/,www,cityofseattle,cityofseattle,Existing Content,56,407,5.291128778628778,2022-01-02,2023-08-01,13.75921375921376,cityofseattle,,,,,
http://www.client_domain.com/cityofseattlebenefits/,www,cityofseattlebenefits,cityofseattlebenefits,Existing Content,0,1,3.0,2023-02-01,2023-02-01,0.0,cityofseattlebenefits,,,,,
http://www.client_domain.com/coorstekoe/,www,coorstekoe,coorstekoe,Existing Content,1,1,3.0,2023-10-20,2023-10-20,100.0,coorstekoe,,,,,
http://www.client_domain.com/dupont/,www,dupont,dupont,Existing Content,0,7,6.142857142857143,2023-05-03,2024-01-06,0.0,dupont,,,,,
http://www.client_domain.com/for/amazon/,www,for,for/amazon,Existing Content,1,7,16.928571428571427,2023-09-12,2023-10-18,14.285714285714285,amazon,,,,,
http://www.client_domain.com/for/cityofseattle1?utm_source=1&utm_medium=flyer&utm_campaign=dep1/,www,for,for/cityofseattle1,Existing Content,0,19,1.4074074074074066,2022-05-10,2022-05-12,0.0,cityofseattle1?utm_source=1&utm_medium=flyer&utm_campaign=dep1,,,,,
http://www.client_domain.com/for/uchicago1?utm_source=1&utm_medium=OE&utm_campaign=dep0/,www,for,for/uchicago1,Existing Content,0,1,11.0,2022-01-21,2022-01-21,0.0,uchicago1?utm_source=1&utm_medium=OE&utm_campaign=dep0,,,,,
http://www.client_domain.com/generalmills/,www,generalmills,generalmills,Existing Content,0,1,10.0,2023-12-20,2023-12-20,0.0,generalmills,,,,,
http://www.client_domain.com/gptx/,www,gptx,gptx,Existing Content,0,3,42.5,2023-09-07,2023-11-09,0.0,gptx,,,,,
http://www.client_domain.com/huber/,www,huber,huber,Existing Content,0,2,8.5,2023-08-23,2023-12-20,0.0,huber,,,,,
http://www.client_domain.com/local4/,www,local4,local4,Existing Content,8,32,3.2666666666666666,2022-02-01,2023-10-27,25.0,local4,,,,,
http://www.client_domain.com/nielsen/,www,nielsen,nielsen,Existing Content,3,6,2.3333333333333335,2023-05-05,2024-01-08,50.0,nielsen,,,,,
http://www.client_domain.com/nmrhca22/,www,nmrhca22,nmrhca22,Existing Content,0,4,7.5,2023-06-02,2023-09-07,0.0,nmrhca22,,,,,
http://www.client_domain.com/oklahoma/oe/,www,oklahoma,oklahoma/oe,Existing Content,0,2,14.5,2023-11-05,2023-11-11,0.0,oe,,,,,
http://www.client_domain.com/oregonlaborers/,www,oregonlaborers,oregonlaborers,Existing Content,0,4,13.916666666666666,2023-09-07,2024-01-13,0.0,oregonlaborers,,,,,
http://www.client_domain.com/packagingcorporation/,www,packagingcorporation,packagingcorporation,Existing Content,0,4,4.5,2023-10-02,2023-11-03,0.0,packagingcorporation,,,,,
http://www.client_domain.com/pge-wellness/,www,pge-wellness,pge-wellness,Existing Content,5,49,5.532608695652174,2023-04-03,2024-01-09,10.204081632653061,pge-wellness,,,,,
http://www.client_domain.com/prismcares/,www,prismcares,prismcares,Existing Content,0,1,21.0,2023-12-20,2023-12-20,0.0,prismcares,,,,,
http://www.client_domain.com/sbcountyforyou/,www,sbcountyforyou,sbcountyforyou,Existing Content,0,4,7.75,2022-09-01,2023-09-07,0.0,sbcountyforyou,,,,,
http://www.client_domain.com/sbcountywebinar/,www,sbcountywebinar,sbcountywebinar,Existing Content,0,5,25.666666666666668,2023-08-23,2023-12-20,0.0,sbcountywebinar,,,,,
http://www.client_domain.com/schoolcare/,www,schoolcare,schoolcare,Existing Content,5,21,6.58771929824561,2023-04-07,2023-09-11,23.809523809523807,schoolcare,,,,,
http://www.client_domain.com/sony/,www,sony,sony,Existing Content,1,4,1.0,2023-10-25,2023-10-26,25.0,sony,,,,,
http://www.client_domain.com/uchicago/,www,uchicago,uchicago,Existing Content,57,176,11.935790112223234,2022-01-08,2023-10-29,32.38636363636363,uchicago,,,,,
http://www.client_domain.com/uchicagohealthplan/,www,uchicagohealthplan,uchicagohealthplan,Existing Content,1,2,4.0,2023-12-14,2023-12-27,50.0,uchicagohealthplan,,,,,
http://www.client_domain.com/utsystem/,www,utsystem,utsystem,Existing Content,64,240,5.380048766494548,2022-02-09,2022-11-03,26.666666666666668,utsystem,,,,,
https://app.client_domain.com/onboarding/cityofgarland/registration/,app,onboarding,onboarding/cityofgarland,Existing Content,0,1,32.0,2022-08-26,2022-08-26,0.0,registration,,,,,
https://app.client_domain.com/onboarding/uts/registration/,app,onboarding,onboarding/uts,Existing Content,0,10,20.5,2022-01-21,2022-09-01,0.0,registration,,,,,
https://app.client_domain.com/users/password/new/,app,users,users/password,Existing Content,9,338,7.712352433080278,2022-01-01,2023-05-01,2.6627218934911245,new,,,,,
https://app.client_domain.com/users/sign_in/,app,users,users/sign_in,Existing Content,91,418,13.80281308435153,2022-01-01,2023-04-25,21.770334928229666,sign_in,,,,,
https://client_domain.com/ICSVEBA/,(root),ICSVEBA,ICSVEBA,Existing Content,2,58,6.444444444444445,2022-09-12,2023-01-06,3.4482758620689653,ICSVEBA,,,,,
https://client_domain.com/RCBP/,(root),RCBP,RCBP,Existing Content,2,73,18.88521505376344,2023-05-18,2023-12-08,2.73972602739726,RCBP,,,,,
https://client_domain.com/bcbs-virtual-summit-webinar/,(root),bcbs-virtual-summit-webinar,bcbs-virtual-summit-webinar,Existing Content,20,525,24.869419028326337,2022-01-10,2022-05-21,3.8095238095238098,bcbs-virtual-summit-webinar,,,,,
https://client_domain.com/cb-autozone-walgreens-webinar/,(root),cb-autozone-walgreens-webinar,cb-autozone-walgreens-webinar,Existing Content,0,6,11.98214285714285,2022-02-07,2022-02-08,0.0,cb-autozone-walgreens-webinar,,,,,
https://client_domain.com/cb-waters-webinar/,(root),cb-waters-webinar,cb-waters-webinar,Existing Content,0,10,84.2142857142857,2022-01-25,2022-01-28,0.0,cb-waters-webinar,,,,,
https://client_domain.com/consultant-webinar-120820/,(root),consultant-webinar-120820,consultant-webinar-120820,Existing Content,0,2,8.75,2022-01-25,2022-01-26,0.0,consultant-webinar-120820,,,,,
https://client_domain.com/fis2020/,(root),fis2020,fis2020,Existing Content,0,12,6.041666666666667,2022-02-15,2022-10-18,0.0,fis2020,,,,,
https://client_domain.com/for/cedarssinai/,(root),for,for/cedarssinai,Existing Content,16,33,2.324074074074074,2023-05-18,2023-09-07,48.484848484848484,cedarssinai,,,,,
https://client_domain.com/for/hitachi1/,(root),for,for/hitachi1,Existing Content,0,1,1.0,2022-04-04,2022-04-04,0.0,hitachi1,,,,,
